Publishing Date,Book Name,Author,Language,Author Rating,Rating Group,Book Average Rating,Book Ratings Count,Genre,Gross Sales,Publisher Revenue, Sale Price , Price Range ,Sales Rank,Publisher ,Units Sold
2001,Flipped,Wendelin Van Draanen,english - US,Intermediate,4.00,3.94,"79,264",nonfiction, $109.89 , $-   , $0.99 , $ 0 - 1 ,1072,"Amazon Digital Services,  Inc.","4,360"
2001,A Painted House,John Grisham,english,Intermediate,3.50,3.67,"59,974",nonfiction, $105.93 , $-   , $0.99 , $ 0 - 1 ,1232,"Amazon Digital Services,  Inc.",107
2001,Mystic River,Dennis Lehane,english - US,Excellent,4.00,4.19,"86,103",fiction," $1,096.78 ", $658.07 , $8.99 , $ 8 - 9 ,739,Random House LLC,"43,848"
2001,Shopaholic Abroad,Sophie Kinsella,english - US,Intermediate,4.00,3.75,"93,498",fiction," $1,468.79 ", $881.27 , $7.69 , $ 7 - 8 ,468,Penglishuin Group (USA) LLC,"5,157"
2001,"Fables, Volume 1: Legends in Exile","Bill Willingham, Lan Medina, Steve Leialoha, Craig Hamilton, James Jean",english,Intermediate,4.00,3.99,"101,016",fiction," $1,125.00 ", $675.00 , $7.50 , $ 7 - 8 ,610,Penglishuin Group (USA) LLC,"4,050"
2001,Lirael,Garth Nix,english - US,Excellent,4.50,4.29,"78,903",fiction, $876.66 , $526.00 , $7.69 , $ 7 - 8 ,957,Penglishuin Group (USA) LLC,"2,889"
2001,Sam's Letters To Jennifer,James Patterson,,Excellent,4.00,4.15,"77,538",fiction, $868.55 , $521.13 , $5.99 , $ 5 - 6 ,636,Hachette Book Group,"3,915"
2001,The Vile Village,"Lemony Snicket, Brett Helquist",english,Intermediate,4.00,3.94,"89,733",fiction, $706.82 , $424.09 , $5.99 , $ 5 - 6 ,808,Penglishuin Group (USA) LLC,"35,640"
2001,Suzanne's Diary for Nicholas,James Patterson,english,Intermediate,4.00,4.16,"121,398",fiction," $3,717.55 "," $2,230.53 ", $4.99 , $ 4 - 5 ,151,Random House LLC,745
2001,Dreamcatcher,"Stephen King, William Olivier Desmond",french,Intermediate,3.50,3.59,"115,855",fiction," $1,576.84 ", $-   , $4.99 , $ 4 - 5 ,310,"Amazon Digital Services,  Inc.",316
2001,The Fiery Cross,Diana Gabaldon,english,Excellent,4.50,4.26,"103,552",fiction," $1,141.14 ", $684.68 , $4.62 , $ 4 - 5 ,356,Penglishuin Group (USA) LLC,247
2001,Good to Great: Why Some Companies Make the Leap... and Others Don't,James C. Collins,english,Excellent,4.00,4.04,"85,277",fiction," $1,032.93 ", $-   , $4.99 , $ 4 - 5 ,436,"Amazon Digital Services,  Inc.","5,589"
2001,Getting Things Done: How To Achieve Stress-frenche Productivity,David    Allen,english - GB,Intermediate,4.00,3.98,"75,665",fiction, $598.50 , $-   , $3.99 , $ 3 - 4 ,611,"Amazon Digital Services,  Inc.","4,050"
2001,Fool Moon ,Jim Butcher,english,Excellent,4.00,4.04,"111,371",fiction, $687.70 , $412.62 , $2.99 , $ 2 - 3 ,389,Macmillan,"6,210"
2001,Empire Falls,Richard Russo,english,Intermediate,4.00,3.91,"90,811",fiction, $586.04 , $-   , $2.99 , $ 2 - 3 ,458,"Amazon Digital Services,  Inc.","5,292"
2001,Tell No One,Harlan Coben,english,Excellent,4.00,4.11,"78,070",fiction, $394.68 , $236.81 , $2.99 , $ 2 - 3 ,693,"Amazon Digital Services,  Inc.","50,976"
2002,2nd Chance,"James Patterson, Andrew Gross",english,Excellent,4.00,4.01,"68,834",fiction," $1,388.77 ", $833.26 , $12.29 , $ 12 - 13 ,993,HarperCollins Publishers,"2,862"
2002,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,english - US,Intermediate,4.50,4.26,"118,576",fiction," $4,792.50 "," $2,875.50 ", $10.65 , $ 10 - 11 ,230,Random House LLC,450
2002,This Lullaby,Sarabich Dessen,english,Intermediate,4.00,4.03,"151,829",fiction," $2,417.85 "," $1,450.71 ", $1.99 , $ 1 - 2 ,86,HarperCollins Publishers,"1,215"
2002,Prey,Michael Crichton,,Intermediate,3.50,3.72,"131,352",fiction," $1,850.70 ", $-   , $1.99 , $ 1 - 2 ,114,"Amazon Digital Services,  Inc.",930
2002,"Janet Evanovich Three and Four Two-Book Set (Stephanie Plum, #3-4)",Janet Evanovich,,Excellent,4.50,4.34,"63,691",fiction, $169.50 , $101.70 , $1.50 , $ 1 - 2 ,992,HarperCollins Publishers,"2,889"
2002,Everything Is Illuminated,Jonathan Safran Foer,english,Intermediate,4.00,3.90,"131,492",fiction," $1,629.54 ", $977.72 , $0.99 , $ 0 - 1 ,58,"Amazon Digital Services,  Inc.","1,646"
2002,é‹¼ã®éŒ¬é‡‘è¡“å¸« 1,"Hiromu arabickawa, Akira Watanabe",english,Famous,4.50,4.49,"93,990",fiction, $226.71 , $-   , $0.99 , $ 0 - 1 ,391,"Amazon Digital Services,  Inc.","6,183"
2002,The Messenglisher,Markus Zusak,english - US,Excellent,4.00,4.09,"93,119",fiction, $145.53 , $87.32 , $0.99 , $ 0 - 1 ,624,"Amazon Digital Services,  Inc.","3,969"
2002,The Carnivorous Carnival,"Lemony Snicket, Brett Helquist",english - US,Intermediate,4.00,3.97,"83,981",fiction, $105.93 , $-   , $0.99 , $ 0 - 1 ,1201,"Amazon Digital Services,  Inc.",107
2002,Hard Eight,"Janet Evanovich, Lorelei King",english - US,Excellent,4.00,4.17,"93,057",nonfiction," $1,060.82 ", $636.49 , $8.99 , $ 8 - 9 ,805,Random House LLC,"35,640"
2002,Lullaby,Chuck Palahniuk,,Intermediate,3.50,3.73,"66,713",fiction," $1,094.63 ", $656.78 , $7.99 , $ 7 - 8 ,671,Hachette Book Group,"53,352"
2002,Night Watch,Terry Pratchett,english,Famous,4.50,4.47,"71,271",nonfiction, $910.86 , $546.52 , $7.99 , $ 7 - 8 ,947,"Amazon Digital Services,  Inc.","2,916"
2002,BLEACHâ€•ãƒ–ãƒªãƒ¼ãƒâ€•ã€€1,Tite Kubo,english,Intermediate,4.00,4.21,"120,004",fiction," $2,605.92 "," $1,563.55 ", $5.34 , $ 5 - 6 ,207,Penglishuin Group (USA) LLC,488
2002,Nights in Rodanthe,Nicholas spanishrks,english,Intermediate,4.00,3.82,"129,807",fiction," $5,603.77 "," $3,362.26 ", $4.99 , $ 4 - 5 ,92,"Amazon Digital Services,  Inc.","1,123"
2002,Hoot,Carl Hiaasen,english,Intermediate,4.00,3.81,"75,275",fiction, $583.83 , $350.30 , $4.99 , $ 4 - 5 ,862,Penglishuin Group (USA) LLC,"31,752"
2002,Summer Knight,Jim Butcher,english,Excellent,4.50,4.30,"91,012",fiction, $542.64 , $-   , $3.99 , $ 3 - 4 ,676,"Amazon Digital Services,  Inc.","52,920"
2002,The Beach House,"James Patterson, Peter de Jonge",english,Intermediate,4.00,3.82,"68,676",fiction, $466.83 , $-   , $3.99 , $ 3 - 4 ,837,"Amazon Digital Services,  Inc.","33,480"
2002,The Arctic Incident,Eoin Colfer,english,Intermediate,4.00,3.94,"108,031",nonfiction, $642.85 , $385.71 , $2.99 , $ 2 - 3 ,420,"Amazon Digital Services,  Inc.","5,805"
2002,Shopaholic Ties the Knot,Sophie Kinsella,english,Intermediate,4.00,3.77,"88,139",fiction, $460.46 , $-   , $2.99 , $ 2 - 3 ,594,"Amazon Digital Services,  Inc.","4,158"
2002,Everything's Eventual: 14 Dark Tales,Stephen King,english,Intermediate,4.00,3.94,"60,932",fiction, $316.94 , $190.16 , $2.99 , $ 2 - 3 ,1255,"Amazon Digital Services,  Inc.",106
